District,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
East York,Crescent Town,43.695403000000006,-79.293099,2,Chinese Restaurant,Ice Cream Shop,Coffee Shop,Convenience Store,Gas Station,Electronics Store,Beer Store,Sushi Restaurant,Bank,Bakery
East York,Pape Village,43.6893775,-79.3488243,2,Greek Restaurant,Bakery,Pharmacy,Pizza Place,Chinese Restaurant,Restaurant,Business Service,Bank,Beer Store,Gourmet Shop
East York,Woodbine Heights,43.699930200000004,-79.3191316,2,Park,Cosmetics Shop,Curling Ice,Pharmacy,Bus Line,Beer Store,Skating Rink,Farmers Market,Empanada Restaurant,Ethiopian Restaurant
East York,Bermondsey,43.713824200000005,-79.31067759999999,2,Fast Food Restaurant,Sporting Goods Shop,Soccer Stadium,Office,Bakery,BBQ Joint,Gym / Fitness Center,Coffee Shop,Athletics & Sports,Café
East York,Governor's Bridge,43.69043250000001,-79.36866675,2,Park,Grocery Store,Trail,Bank,Skating Rink,Candy Store,Pharmacy,Farmers Market,Historic Site,Neighborhood
East York,Leaside,43.70479829999999,-79.36809040000001,0,Coffee Shop,Bakery,Sporting Goods Shop,Indian Restaurant,Ice Cream Shop,Sandwich Place,Grocery Store,Asian Restaurant,Mexican Restaurant,Italian Restaurant
East York,O'Connor–Parkview,43.7070599,-79.31163029999999,2,Pizza Place,Brewery,Fast Food Restaurant,Bakery,Rock Climbing Spot,Gym / Fitness Center,Café,Athletics & Sports,Gastropub,Soccer Stadium
East York,Thorncliffe Park,43.704553000000004,-79.3454074,2,Indian Restaurant,Coffee Shop,Afghan Restaurant,Park,Gym / Fitness Center,Gym,Grocery Store,Asian Restaurant,Restaurant,Turkish Restaurant
Etobicoke,Alderwood,43.6017173,-79.5452325,2,Pizza Place,Pool,Gas Station,Sandwich Place,Donut Shop,Park,Pharmacy,Gym,Coffee Shop,Athletics & Sports
Etobicoke,Centennial Park,43.65359045,-79.5888688813873,2,Baseball Field,College Rec Center,Hockey Arena,Ski Area,Ski Chalet,Park,Garden,Bank,Racetrack,Stadium
Etobicoke,Clairville,43.747900000000065,-79.63176999999995,2,Construction & Landscaping,Department Store,Filipino Restaurant,Empanada Restaurant,Ethiopian Restaurant,Event Space,Exhibit,Falafel Restaurant,Farm,Farmers Market
Etobicoke,Eatonville,43.6462843,-79.5600005,2,Convenience Store,Bank,Grocery Store,Farmers Market,Café,Clothing Store,Skating Rink,Gym,Mexican Restaurant,American Restaurant
Etobicoke,The Elms,43.696997499999995,-79.52188340000001,2,Breakfast Spot,Pharmacy,Grocery Store,Tech Startup,Café,Soccer Field,Diner,Park,Skating Rink,Pizza Place
Etobicoke,Eringate,43.6622732,-79.5765162,2,Coffee Shop,Convenience Store,Chinese Restaurant,Park,Pizza Place,Eastern European Restaurant,Zoo,Empanada Restaurant,Ethiopian Restaurant,Event Space
Etobicoke,Humber Bay,43.6400463,-79.495028,2,Business Service,Auto Workshop,Harbor / Marina,Park,Shopping Mall,Farmers Market,Electronics Store,Empanada Restaurant,Ethiopian Restaurant,Event Space
Etobicoke,Humber Heights – Westmount,43.686072100000004,-79.5288038497315,2,Convenience Store,Pizza Place,Café,Discount Store,Hardware Store,Restaurant,Supermarket,Bakery,Plaza,Ice Cream Shop
Etobicoke,Humber Valley Village,43.6664717,-79.5243136,2,Pharmacy,Grocery Store,Camera Store,Skating Rink,Restaurant,Japanese Restaurant,Bus Stop,Bank,Spa,Convenience Store
Etobicoke,Humberwood,43.722525,-79.5460241478979,2,Golf Course,Home Service,Business Service,Park,Italian Restaurant,Zoo,Empanada Restaurant,Ethiopian Restaurant,Event Space,Exhibit
Etobicoke,Islington–City Centre West,43.648795299999996,-79.5490002,2,Park,Pizza Place,Bank,Fish & Chips Shop,Zoo,Fast Food Restaurant,Empanada Restaurant,Ethiopian Restaurant,Event Space,Exhibit
Etobicoke,Kingsview Village,43.6995391,-79.5563459,2,Sporting Goods Shop,Supermarket,Breakfast Spot,Chinese Restaurant,Gym,Sandwich Place,Beer Store,Shopping Mall,Fast Food Restaurant,Coffee Shop
Etobicoke,The Kingsway,43.6473811,-79.51133279999999,0,Coffee Shop,Pub,Dessert Shop,Sushi Restaurant,Italian Restaurant,Breakfast Spot,Pool Hall,French Restaurant,Thai Restaurant,Bar
Etobicoke,Long Branch,43.5930751,-79.541212,2,Light Rail Station,Coffee Shop,Burger Joint,Park,Bar,Beer Store,Sandwich Place,Dog Run,Greek Restaurant,Grocery Store
Etobicoke,Markland Wood,43.63123795,-79.5854368166265,2,Park,Flower Shop,Golf Course,Baseball Field,Zoo,Fast Food Restaurant,Ethiopian Restaurant,Event Space,Exhibit,Falafel Restaurant
Etobicoke,Mimico,43.603656,-79.4931782,2,Park,Fast Food Restaurant,Dessert Shop,Sandwich Place,Liquor Store,Fried Chicken Joint,American Restaurant,Flower Shop,Pizza Place,Coffee Shop
Etobicoke,New Toronto,43.6007625,-79.505264,2,Park,Mexican Restaurant,Coffee Shop,Bakery,Italian Restaurant,Flower Shop,Café,Sushi Restaurant,Sandwich Place,Supermarket
Etobicoke,Princess Gardens,43.67574935,-79.5528551098826,2,Liquor Store,Pharmacy,Shopping Mall,Beer Store,Grocery Store,Pizza Place,Supermarket,Café,Bank,Asian Restaurant
